data1;dato2;dato3;dato4;time
02.24744;341870;165;0;03.33.41.216
02.24538;341871;165;0;03.33.41.216
02.24590;341872;165;0;03.33.41.216
02.24487;341873;165;0;03.33.41.216
02.24692;341874;165;0;03.33.41.216
02.24538;341875;165;0;03.33.41.216
02.24692;341876;165;0;03.33.41.216
02.24590;341877;165;0;03.33.41.216
02.24538;341878;165;0;03.33.41.216
02.24538;341879;165;0;03.33.41.216
02.24641;341880;165;1;03.33.41.256
02.24590;341881;165;1;03.33.41.256
02.24333;341882;165;1;03.33.41.256
02.24538;341883;165;1;03.33.41.256
02.24590;341884;165;1;03.33.41.256
02.24487;341885;165;1;03.33.41.256
02.24538;341886;165;1;03.33.41.256
02.24641;341887;165;1;03.33.41.256
02.24487;341888;165;1;03.33.41.256
02.24487;341889;165;1;03.33.41.256
02.28258;341890;164;1;03.33.41.300
02.28362;341891;164;1;03.33.41.300
02.28310;341892;164;1;03.33.41.300
02.28102;341893;164;1;03.33.41.300
02.28258;341894;164;1;03.33.41.300
02.28258;341895;164;1;03.33.41.300
02.28206;341896;164;1;03.33.41.300
02.28050;341897;164;1;03.33.41.300
02.28206;341898;164;1;03.33.41.311
02.27842;341899;164;1;03.33.41.311
02.27479;341900;164;1;03.33.41.355
02.27427;341901;164;1;03.33.41.355
02.27531;341902;164;1;03.33.41.355
02.27220;341903;164;1;03.33.41.355
02.27065;341904;164;1;03.33.41.355
02.27065;341905;164;1;03.33.41.355
02.26599;341906;164;1;03.33.41.355
02.26547;341907;164;1;03.33.41.366
02.26547;341908;164;1;03.33.41.366
02.26496;341909;164;1;03.33.41.366
02.26393;341910;164;1;03.33.41.399
02.25980;341911;164;1;03.33.41.399
02.25928;341912;164;1;03.33.41.399
02.25877;341913;164;1;03.33.41.399
02.25722;341914;164;1;03.33.41.399
02.25877;341915;164;1;03.33.41.410
02.25258;341916;164;1;03.33.41.410
02.25464;341917;164;1;03.33.41.410
02.25670;341918;164;1;03.33.41.410
02.25258;341919;164;1;03.33.41.410
02.25310;341920;164;1;03.33.41.453
02.25053;341921;164;1;03.33.41.453
02.24847;341922;164;1;03.33.41.453
02.24899;341923;164;1;03.33.41.464
02.25001;341924;164;1;03.33.41.464
02.24796;341925;164;1;03.33.41.464
02.25053;341926;164;1;03.33.41.464
02.24847;341927;164;1;03.33.41.464
02.24899;341928;164;1;03.33.41.464
02.24950;341929;164;1;03.33.41.464
02.24847;341930;164;1;03.33.41.497
02.24744;341931;164;1;03.33.41.497
02.24847;341932;164;1;03.33.41.508
02.24693;341933;164;1;03.33.41.508
02.24744;341934;164;1;03.33.41.508
02.24642;341935;164;1;03.33.41.508
02.23975;341936;164;1;03.33.41.508
02.24693;341937;164;1;03.33.41.508
02.24590;341938;164;1;03.33.41.508
02.24590;341939;164;1;03.33.41.508
02.24744;341940;164;1;03.33.41.541
02.24693;341941;164;1;03.33.41.552
02.24539;341942;164;1;03.33.41.552
02.24744;341943;164;1;03.33.41.552
02.24693;341944;164;1;03.33.41.552
02.24693;341945;164;1;03.33.41.552
02.24488;341946;164;1;03.33.41.552
02.24385;341947;164;1;03.33.41.552
02.24950;341948;164;1;03.33.41.552
02.24899;341949;164;1;03.33.41.552
02.24642;341950;164;0;03.33.41.607
02.24385;341951;164;0;03.33.41.607
02.25053;341952;164;0;03.33.41.607
02.24899;341953;164;0;03.33.41.607
02.24590;341954;164;0;03.33.41.607
02.24642;341955;164;0;03.33.41.607
02.24693;341956;164;0;03.33.41.607
02.24744;341957;164;0;03.33.41.607
02.24744;341958;164;0;03.33.41.607
02.24590;341959;164;0;03.33.41.607
02.24539;341960;164;0;03.33.41.651
02.24231;341961;164;0;03.33.41.651
02.24642;341962;164;0;03.33.41.651
02.24488;341963;164;0;03.33.41.651
02.24334;341964;164;0;03.33.41.651
02.24847;341965;164;0;03.33.41.651
02.24488;341966;164;0;03.33.41.651
02.24693;341967;164;0;03.33.41.651
02.24744;341968;164;0;03.33.41.651
02.24642;341969;164;0;03.33.41.651
02.24539;341970;164;0;03.33.41.706
02.24436;341971;164;0;03.33.41.706
02.24385;341972;164;0;03.33.41.706
02.24385;341973;164;0;03.33.41.706
02.24283;341974;164;0;03.33.41.706
02.24590;341975;164;0;03.33.41.706
02.24642;341976;164;0;03.33.41.706
02.24488;341977;164;0;03.33.41.706
02.24744;341978;164;0;03.33.41.706
02.24231;341979;164;0;03.33.41.706
02.24488;341980;164;0;03.33.41.750
02.24488;341981;164;0;03.33.41.750
02.24283;341982;164;0;03.33.41.750
02.24334;341983;164;0;03.33.41.750
02.24334;341984;164;0;03.33.41.750
02.24488;341985;164;0;03.33.41.750
02.24231;341986;164;0;03.33.41.750
02.24231;341987;164;0;03.33.41.750
02.24180;341988;164;0;03.33.41.761
02.24180;341989;164;0;03.33.41.761
02.24436;341990;164;0;03.33.41.793
02.24693;341991;164;0;03.33.41.793
02.24283;341992;164;0;03.33.41.793
02.24180;341993;164;0;03.33.41.793
02.24129;341994;164;0;03.33.41.793
02.24231;341995;164;0;03.33.41.793
02.24078;341996;164;0;03.33.41.793
02.23770;341997;164;0;03.33.41.804
02.24078;341998;164;0;03.33.41.804
02.24078;341999;164;0;03.33.41.804
02.24078;342000;164;0;03.33.41.848
02.24180;342001;164;0;03.33.41.848
02.23770;342002;164;0;03.33.41.848
02.23975;342003;164;0;03.33.41.848
02.23770;342004;164;0;03.33.41.848
02.24026;342005;164;0;03.33.41.859
02.24026;342006;164;0;03.33.41.859
02.23821;342007;164;0;03.33.41.859
02.24078;342008;164;0;03.33.41.859
02.24180;342009;164;0;03.33.41.859
02.23924;342010;164;0;03.33.41.892
02.23924;342011;164;0;03.33.41.892
02.23873;342012;164;0;03.33.41.892
02.24026;342013;164;0;03.33.41.903
02.24129;342014;164;0;03.33.41.903
02.23975;342015;164;0;03.33.41.903
02.24231;342016;164;0;03.33.41.903
02.24283;342017;164;0;03.33.41.903
02.24129;342018;164;0;03.33.41.903
02.24026;342019;164;0;03.33.41.903
02.24231;342020;164;0;03.33.41.946
02.24129;342021;164;0;03.33.41.957
02.23770;342022;164;0;03.33.41.957
02.23770;342023;164;0;03.33.41.957
02.24231;342024;164;0;03.33.41.957
02.24078;342025;164;0;03.33.41.957
02.24231;342026;164;0;03.33.41.957
02.24026;342027;164;0;03.33.41.957
02.23975;342028;164;0;03.33.41.957
02.23770;342029;164;0;03.33.41.957
02.24180;342030;164;0;03.33.42.001
02.24231;342031;164;0;03.33.42.001
02.24231;342032;164;0;03.33.42.001
02.24180;342033;164;0;03.33.42.001
02.24180;342034;164;0;03.33.42.001
02.24129;342035;164;0;03.33.42.001
02.23873;342036;164;0;03.33.42.001
02.24180;342037;164;0;03.33.42.001
02.24129;342038;164;0;03.33.42.001
02.24385;342039;164;0;03.33.42.001
02.24078;342040;164;0;03.33.42.045
02.24334;342041;164;0;03.33.42.045
02.24026;342042;164;0;03.33.42.045
02.24129;342043;164;0;03.33.42.045
02.24642;342044;164;0;03.33.42.045
02.24231;342045;164;0;03.33.42.045
02.24180;342046;164;0;03.33.42.045
02.24436;342047;164;0;03.33.42.045
02.24334;342048;164;0;03.33.42.045
02.24283;342049;164;0;03.33.42.045
02.24231;342050;164;0;03.33.42.100
02.24231;342051;164;0;03.33.42.100
02.24180;342052;164;0;03.33.42.100
02.24180;342053;164;0;03.33.42.100
02.23770;342054;164;0;03.33.42.100
02.24385;342055;164;0;03.33.42.100
02.24129;342056;164;0;03.33.42.100
02.24283;342057;164;0;03.33.42.100
02.24180;342058;164;0;03.33.42.100
02.24231;342059;164;0;03.33.42.100
02.24078;342060;164;0;03.33.42.144
02.22952;342061;164;0;03.33.42.144
02.23975;342062;164;0;03.33.42.144
02.24283;342063;164;0;03.33.42.144
02.24334;342064;164;0;03.33.42.144
02.24334;342065;164;0;03.33.42.144
02.24283;342066;164;0;03.33.42.144
02.24129;342067;164;0;03.33.42.144
02.23975;342068;164;0;03.33.42.144
02.24180;342069;164;0;03.33.42.144
02.24334;342070;164;0;03.33.42.199
02.24129;342071;164;0;03.33.42.199
02.24026;342072;164;0;03.33.42.199
02.24231;342073;164;0;03.33.42.199
02.24129;342074;164;0;03.33.42.199
02.24231;342075;164;0;03.33.42.199
02.23873;342076;164;0;03.33.42.199
02.24180;342077;164;0;03.33.42.210
02.24231;342078;164;0;03.33.42.210
02.24026;342079;164;0;03.33.42.210
02.23924;342080;164;0;03.33.42.241
02.24129;342081;164;0;03.33.42.241
02.23975;342082;164;0;03.33.42.241
02.23924;342083;164;0;03.33.42.241
02.23770;342084;164;0;03.33.42.241
02.24231;342085;164;0;03.33.42.252
02.23412;342086;164;0;03.33.42.252
02.24231;342087;164;0;03.33.42.252
02.24129;342088;164;0;03.33.42.252
02.23873;342089;164;0;03.33.42.252
02.24180;342090;164;0;03.33.42.285
02.24026;342091;164;0;03.33.42.285
02.23924;342092;164;0;03.33.42.296
02.23668;342093;164;0;03.33.42.296
02.23821;342094;164;0;03.33.42.296
02.23770;342095;164;0;03.33.42.296
02.23821;342096;164;0;03.33.42.296
02.23770;342097;164;0;03.33.42.296
02.23873;342098;164;0;03.33.42.296
02.23770;342099;164;0;03.33.42.296
02.23719;342100;164;0;03.33.42.350
02.23514;342101;164;0;03.33.42.350
02.23873;342102;164;0;03.33.42.350
02.23719;342103;164;0;03.33.42.350
02.24129;342104;164;0;03.33.42.350
02.23821;342105;164;0;03.33.42.350
02.23821;342106;164;0;03.33.42.350
02.23873;342107;164;0;03.33.42.350
02.23565;342108;164;0;03.33.42.350
02.23924;342109;164;0;03.33.42.350
02.23770;342110;164;0;03.33.42.394
02.22901;342111;164;0;03.33.42.394
02.23770;342112;164;0;03.33.42.394
02.23821;342113;164;0;03.33.42.394
02.23770;342114;164;0;03.33.42.394
02.23821;342115;164;0;03.33.42.394
02.24078;342116;164;0;03.33.42.394
02.23821;342117;164;0;03.33.42.394
02.23770;342118;164;0;03.33.42.394
02.23668;342119;164;0;03.33.42.394
02.24026;342120;164;0;03.33.42.448
02.23770;342121;164;0;03.33.42.448
02.24129;342122;164;0;03.33.42.448
02.23924;342123;164;0;03.33.42.448
02.23770;342124;164;0;03.33.42.448
02.24129;342125;164;0;03.33.42.448
02.24231;342126;164;0;03.33.42.448
02.23924;342127;164;0;03.33.42.448
02.24231;342128;164;0;03.33.42.448
02.23924;342129;164;0;03.33.42.459
02.23975;342130;164;0;03.33.42.492
02.24129;342131;164;0;03.33.42.492
02.24078;342132;164;0;03.33.42.492
02.24078;342133;164;0;03.33.42.492
02.24231;342134;164;0;03.33.42.492
02.23975;342135;164;0;03.33.42.492
02.23821;342136;164;0;03.33.42.492
02.24231;342137;164;0;03.33.42.492
02.24231;342138;164;0;03.33.42.492
02.24231;342139;164;0;03.33.42.503
02.24436;342140;164;0;03.33.42.536
02.24283;342141;164;0;03.33.42.536
02.24334;342142;164;0;03.33.42.536
02.24129;342143;164;0;03.33.42.536
02.24078;342144;164;0;03.33.42.536
02.24231;342145;164;0;03.33.42.536
02.24180;342146;164;0;03.33.42.536
02.24078;342147;164;0;03.33.42.547
02.24231;342148;164;0;03.33.42.547
02.24180;342149;164;0;03.33.42.547
02.24231;342150;164;0;03.33.42.591
02.24488;342151;164;0;03.33.42.591
02.24180;342152;164;0;03.33.42.591
02.24385;342153;164;0;03.33.42.591
02.24231;342154;164;0;03.33.42.591
02.24283;342155;164;0;03.33.42.601
02.24283;342156;164;0;03.33.42.601
02.24436;342157;164;0;03.33.42.601
02.24180;342158;164;0;03.33.42.601
02.24129;342159;164;0;03.33.42.601
02.24231;342160;164;0;03.33.42.634
02.22952;342161;164;0;03.33.42.634
02.24334;342162;164;0;03.33.42.645
02.24334;342163;164;0;03.33.42.645
02.24334;342164;164;0;03.33.42.645
02.23975;342165;164;0;03.33.42.645
02.24334;342166;164;0;03.33.42.645
02.24078;342167;164;0;03.33.42.645
02.24129;342168;164;0;03.33.42.645
02.24078;342169;164;0;03.33.42.645
02.24129;342170;164;0;03.33.42.689
02.24283;342171;164;0;03.33.42.700
02.24129;342172;164;0;03.33.42.700
02.24026;342173;164;0;03.33.42.700
02.24334;342174;164;0;03.33.42.700
02.24231;342175;164;0;03.33.42.700
02.24026;342176;164;0;03.33.42.700
02.24334;342177;164;0;03.33.42.700
02.24026;342178;164;0;03.33.42.700
02.24026;342179;164;0;03.33.42.700
02.23924;342180;164;0;03.33.42.743
02.23975;342181;164;0;03.33.42.743
02.24129;342182;164;0;03.33.42.743
02.23821;342183;164;0;03.33.42.743
02.24078;342184;164;0;03.33.42.743
02.23975;342185;164;0;03.33.42.743
02.23514;342186;164;0;03.33.42.743
02.23668;342187;164;0;03.33.42.743
02.23873;342188;164;0;03.33.42.743
02.23821;342189;164;0;03.33.42.743
02.24129;342190;164;0;03.33.42.787
02.23873;342191;164;0;03.33.42.787
02.23924;342192;164;0;03.33.42.787
02.23975;342193;164;0;03.33.42.787
02.23924;342194;164;0;03.33.42.787
02.23975;342195;164;0;03.33.42.787
02.23873;342196;164;0;03.33.42.787
02.23668;342197;164;0;03.33.42.787
02.23975;342198;164;0;03.33.42.787
02.23770;342199;164;0;03.33.42.787
02.23821;342200;164;0;03.33.42.842
02.24026;342201;164;0;03.33.42.842
02.23770;342202;164;0;03.33.42.842
02.24078;342203;164;0;03.33.42.842
02.23924;342204;164;0;03.33.42.842
02.23770;342205;164;0;03.33.42.842
02.23873;342206;164;0;03.33.42.842
02.23719;342207;164;0;03.33.42.842
02.23770;342208;164;0;03.33.42.842
02.23975;342209;164;0;03.33.42.842
02.24283;342210;164;0;03.33.42.886
02.23565;342211;164;0;03.33.42.886
02.23873;342212;164;0;03.33.42.886
02.24129;342213;164;0;03.33.42.886
02.24078;342214;164;0;03.33.42.886
02.23770;342215;164;0;03.33.42.886
02.24026;342216;164;0;03.33.42.886
02.23821;342217;164;0;03.33.42.886
02.24026;342218;164;0;03.33.42.897
02.24231;342219;164;0;03.33.42.897
02.24129;342220;164;0;03.33.42.941
02.24078;342221;164;0;03.33.42.941
02.23975;342222;164;0;03.33.42.941
02.24231;342223;164;0;03.33.42.941
02.24026;342224;164;0;03.33.42.941
02.24231;342225;164;0;03.33.42.941
02.24231;342226;164;0;03.33.42.941
02.24129;342227;164;0;03.33.42.952
02.24231;342228;164;0;03.33.42.952
02.24283;342229;164;0;03.33.42.952
02.24180;342230;164;0;03.33.42.985
02.24488;342231;164;0;03.33.42.985
02.24129;342232;164;0;03.33.42.985
02.24283;342233;164;0;03.33.42.985
02.24334;342234;164;0;03.33.42.985
02.24283;342235;164;0;03.33.42.996
02.22748;342236;164;0;03.33.42.996
02.24334;342237;164;0;03.33.42.996
02.24180;342238;164;0;03.33.42.996
02.24334;342239;164;0;03.33.42.996
02.24436;342240;164;0;03.33.43.029
02.24436;342241;164;0;03.33.43.029
02.24385;342242;164;0;03.33.43.029
02.24129;342243;164;0;03.33.43.029
02.24231;342244;164;0;03.33.43.039
02.24283;342245;164;0;03.33.43.039
02.24385;342246;164;0;03.33.43.039
02.24642;342247;164;0;03.33.43.039
02.24385;342248;164;0;03.33.43.039
02.24590;342249;164;0;03.33.43.039
02.24385;342250;164;0;03.33.43.082
02.24436;342251;164;0;03.33.43.093
02.24385;342252;164;0;03.33.43.093
02.24539;342253;164;0;03.33.43.093
02.24283;342254;164;0;03.33.43.093
02.24283;342255;164;0;03.33.43.093
02.24488;342256;164;0;03.33.43.093
02.24385;342257;164;0;03.33.43.093
02.24334;342258;164;0;03.33.43.093
02.24180;342259;164;0;03.33.43.093
02.24334;342260;164;0;03.33.43.137
