data1;dato2;dato3;dato4;time
02.29780;689490;147;1;04.08.00.210
02.29571;689491;147;1;04.08.00.210
02.29623;689492;147;1;04.08.00.210
02.28373;689493;147;1;04.08.00.210
02.29206;689494;147;1;04.08.00.210
02.29623;689495;147;1;04.08.00.210
02.29675;689496;147;1;04.08.00.210
02.29518;689497;147;1;04.08.00.210
02.29362;689498;147;1;04.08.00.210
02.29780;689499;147;1;04.08.00.210
01.77161;689500;162;1;04.08.00.254
01.77074;689501;162;1;04.08.00.254
01.77509;689502;162;1;04.08.00.254
01.77945;689503;162;1;04.08.00.265
01.78206;689504;162;1;04.08.00.265
01.79168;689505;162;1;04.08.00.265
01.80353;689506;162;1;04.08.00.265
01.81323;689507;162;1;04.08.00.265
01.82961;689508;162;1;04.08.00.265
01.84118;689509;162;1;04.08.00.265
01.86311;689510;162;1;04.08.00.298
01.88205;689511;162;1;04.08.00.298
01.89975;689512;162;1;04.08.00.309
01.92078;689513;162;1;04.08.00.309
01.94103;689514;162;1;04.08.00.309
01.96750;689515;162;1;04.08.00.309
01.98574;689516;162;1;04.08.00.309
02.01073;689517;162;1;04.08.00.309
02.02260;689518;162;1;04.08.00.309
02.05127;689519;162;1;04.08.00.309
02.07345;689520;162;1;04.08.00.364
02.09434;689521;162;1;04.08.00.364
02.11292;689522;162;1;04.08.00.364
02.13261;689523;162;1;04.08.00.364
02.14896;689524;162;1;04.08.00.364
02.16940;689525;162;1;04.08.00.364
02.18344;689526;162;1;04.08.00.364
02.19957;689527;162;1;04.08.00.364
02.21324;689528;162;1;04.08.00.364
02.22392;689529;162;1;04.08.00.364
02.23669;689530;162;1;04.08.00.408
02.25311;689531;162;1;04.08.00.408
02.26187;689532;162;1;04.08.00.408
02.27169;689533;162;1;04.08.00.408
02.27999;689534;162;1;04.08.00.408
02.29092;689535;162;1;04.08.00.408
02.29770;689536;162;1;04.08.00.408
02.30345;689537;162;1;04.08.00.408
02.30869;689538;162;1;04.08.00.408
02.31446;689539;162;1;04.08.00.408
02.32129;689540;162;1;04.08.00.452
02.32762;689541;162;1;04.08.00.452
