data1;dato2;dato3;dato4;time
01.46412;679489;190;0;04.07.10.666
01.46567;679490;190;0;04.07.10.699
01.46606;679491;190;0;04.07.10.699
01.46529;679492;190;0;04.07.10.699
01.46529;679493;190;0;04.07.10.699
01.46296;679494;190;0;04.07.10.710
01.46374;679495;190;0;04.07.10.710
01.46490;679496;190;0;04.07.10.710
01.46296;679497;190;0;04.07.10.710
01.46335;679498;190;0;04.07.10.710
01.46374;679499;190;0;04.07.10.710
01.46296;679500;190;0;04.07.10.754
01.46412;679501;190;0;04.07.10.764
01.46374;679502;190;0;04.07.10.764
01.46374;679503;190;0;04.07.10.764
01.45484;679504;190;0;04.07.10.764
01.46374;679505;190;0;04.07.10.764
01.46412;679506;190;0;04.07.10.764
01.46490;679507;190;0;04.07.10.764
01.46219;679508;190;0;04.07.10.764
01.46451;679509;190;0;04.07.10.764
01.46684;679510;190;0;04.07.10.808
01.46064;679511;190;0;04.07.10.808
01.46451;679512;190;0;04.07.10.808
01.46567;679513;190;0;04.07.10.808
01.46722;679514;190;0;04.07.10.808
01.46800;679515;190;0;04.07.10.808
01.46955;679516;190;0;04.07.10.808
01.46761;679517;190;0;04.07.10.808
01.46955;679518;190;0;04.07.10.808
01.47266;679519;190;0;04.07.10.808
01.46412;679520;190;0;04.07.10.863
01.47266;679521;190;0;04.07.10.863
01.47460;679522;190;0;04.07.10.863
01.47810;679523;190;0;04.07.10.863
01.47616;679524;190;0;04.07.10.863
01.47694;679525;190;0;04.07.10.863
01.48161;679526;190;0;04.07.10.863
01.48278;679527;190;0;04.07.10.863
01.48278;679528;190;0;04.07.10.863
01.47421;679529;190;0;04.07.10.863
01.48278;679530;190;0;04.07.10.906
01.48629;679531;190;0;04.07.10.906
01.48512;679532;190;0;04.07.10.906
01.48473;679533;190;0;04.07.10.906
01.48903;679534;190;0;04.07.10.906
01.48864;679535;190;0;04.07.10.906
01.49020;679536;190;0;04.07.10.906
01.48942;679537;190;0;04.07.10.906
01.49294;679538;190;0;04.07.10.906
01.49177;679539;190;0;04.07.10.906
01.49138;679540;190;0;04.07.10.950
01.49216;679541;190;0;04.07.10.950
01.49373;679542;190;0;04.07.10.950
01.49294;679543;190;0;04.07.10.950
01.49373;679544;190;0;04.07.10.950
01.49412;679545;190;0;04.07.10.950
01.49490;679546;190;0;04.07.10.950
01.49451;679547;190;0;04.07.10.950
01.49647;679548;190;0;04.07.10.961
01.49373;679549;190;0;04.07.10.961
01.49490;679550;190;0;04.07.11.005
01.49451;679551;190;0;04.07.11.005
01.49569;679552;190;0;04.07.11.005
01.49608;679553;190;0;04.07.11.005
01.49333;679554;190;0;04.07.11.005
01.49451;679555;190;0;04.07.11.005
01.49412;679556;190;0;04.07.11.005
01.49333;679557;190;0;04.07.11.016
01.49451;679558;190;0;04.07.11.016
01.49529;679559;190;0;04.07.11.016
01.49412;679560;190;0;04.07.11.049
01.48512;679561;190;0;04.07.11.049
01.49138;679562;190;0;04.07.11.049
01.49177;679563;190;0;04.07.11.049
