data1;dato2;dato3;dato4;time
02.31865;766620;164;1;04.14.22.009
02.32075;766621;164;1;04.14.22.009
02.32286;766622;164;1;04.14.22.009
02.31339;766623;164;1;04.14.22.020
02.32181;766624;164;1;04.14.22.020
02.31970;766625;164;1;04.14.22.020
02.31970;766626;164;1;04.14.22.020
02.32128;766627;164;1;04.14.22.020
02.32286;766628;164;1;04.14.22.020
02.32286;766629;164;1;04.14.22.020
02.38836;766630;162;1;04.14.22.063
02.39915;766631;162;1;04.14.22.074
02.39969;766632;162;1;04.14.22.074
02.39915;766633;162;1;04.14.22.074
02.39699;766634;162;1;04.14.22.074
02.39645;766635;162;1;04.14.22.074
02.39645;766636;162;1;04.14.22.074
02.39483;766637;162;1;04.14.22.074
02.38998;766638;162;1;04.14.22.074
02.38890;766639;162;1;04.14.22.074
02.38352;766640;162;1;04.14.22.118
02.38406;766641;162;1;04.14.22.118
02.37923;766642;162;1;04.14.22.118
02.37547;766643;162;1;04.14.22.118
02.37333;766644;162;1;04.14.22.118
02.36958;766645;162;1;04.14.22.118
02.36477;766646;162;1;04.14.22.118
02.36210;766647;162;1;04.14.22.118
02.35305;766648;162;1;04.14.22.118
02.35624;766649;162;1;04.14.22.118
02.35092;766650;162;1;04.14.22.173
02.34826;766651;162;1;04.14.22.173
02.34508;766652;162;1;04.14.22.173
02.34508;766653;162;1;04.14.22.173
02.34031;766654;162;1;04.14.22.173
02.33766;766655;162;1;04.14.22.173
02.33554;766656;162;1;04.14.22.173
02.33607;766657;162;1;04.14.22.173
02.33237;766658;162;1;04.14.22.173
02.32867;766659;162;1;04.14.22.173
02.33078;766660;162;1;04.14.22.217
02.32920;766661;162;1;04.14.22.217
02.32867;766662;162;1;04.14.22.217
02.32656;766663;162;1;04.14.22.217
02.32445;766664;162;1;04.14.22.217
02.32287;766665;162;1;04.14.22.217
02.32287;766666;162;1;04.14.22.217
02.31972;766667;162;1;04.14.22.217
02.31814;766668;162;1;04.14.22.217
02.31761;766669;162;1;04.14.22.228
02.31972;766670;162;1;04.14.22.261
02.31131;766671;162;1;04.14.22.261
02.31551;766672;162;1;04.14.22.261
02.30711;766673;162;1;04.14.22.261
02.31551;766674;162;1;04.14.22.261
02.31603;766675;162;1;04.14.22.261
02.31551;766676;162;1;04.14.22.261
02.31341;766677;162;1;04.14.22.261
02.31446;766678;162;1;04.14.22.261
02.31498;766679;162;1;04.14.22.272
02.30188;766680;162;1;04.14.22.316
02.31341;766681;162;1;04.14.22.316
02.31236;766682;162;1;04.14.22.316
02.31656;766683;162;1;04.14.22.316
02.31183;766684;162;1;04.14.22.316
02.31341;766685;162;1;04.14.22.316
02.31393;766686;162;1;04.14.22.316
02.31551;766687;162;1;04.14.22.316
02.31236;766688;162;1;04.14.22.327
02.31498;766689;162;1;04.14.22.327
02.31131;766690;162;0;04.14.22.359
02.31498;766691;162;0;04.14.22.359
02.30921;766692;162;0;04.14.22.359
02.31446;766693;162;0;04.14.22.370
02.31131;766694;162;0;04.14.22.370
02.31341;766695;162;0;04.14.22.370
02.31236;766696;162;0;04.14.22.370
02.31498;766697;162;0;04.14.22.370
02.30293;766698;162;0;04.14.22.370
02.31341;766699;162;0;04.14.22.370
02.31183;766700;162;0;04.14.22.414
02.31446;766701;162;0;04.14.22.414
02.31341;766702;162;0;04.14.22.414
02.31026;766703;162;0;04.14.22.414
02.31288;766704;162;0;04.14.22.425
02.31078;766705;162;0;04.14.22.425
