data1;dato2;dato3;dato4;time
02.06228;437400;172;0;03.41.34.068
02.06517;437401;172;0;03.41.34.068
02.06614;437402;172;0;03.41.34.068
02.06228;437403;172;0;03.41.34.068
02.06421;437404;172;0;03.41.34.068
02.06421;437405;172;0;03.41.34.068
02.06276;437406;172;0;03.41.34.068
02.06421;437407;172;0;03.41.34.068
02.06083;437408;172;0;03.41.34.068
02.06373;437409;172;0;03.41.34.068
02.06083;437410;172;1;03.41.34.123
02.06324;437411;172;1;03.41.34.123
02.06324;437412;172;1;03.41.34.123
02.06373;437413;172;1;03.41.34.123
02.06035;437414;172;1;03.41.34.123
02.06228;437415;172;1;03.41.34.123
02.06276;437416;172;1;03.41.34.123
02.06276;437417;172;1;03.41.34.123
02.06324;437418;172;1;03.41.34.123
02.06276;437419;172;1;03.41.34.123
02.20560;437420;168;1;03.41.34.167
02.20307;437421;168;1;03.41.34.167
02.20307;437422;168;1;03.41.34.167
02.20509;437423;168;1;03.41.34.167
02.20459;437424;168;1;03.41.34.167
02.19801;437425;168;1;03.41.34.167
02.19953;437426;168;1;03.41.34.167
02.19398;437427;168;1;03.41.34.167
02.18743;437428;168;1;03.41.34.178
02.18541;437429;168;1;03.41.34.178
02.16836;437430;168;1;03.41.34.221
02.17437;437431;168;1;03.41.34.221
02.16736;437432;168;1;03.41.34.221
02.16337;437433;168;1;03.41.34.221
02.15738;437434;168;1;03.41.34.221
02.14992;437435;168;1;03.41.34.221
02.14148;437436;168;1;03.41.34.232
02.13752;437437;168;1;03.41.34.232
02.12814;437438;168;1;03.41.34.232
02.12469;437439;168;1;03.41.34.232
02.11976;437440;168;1;03.41.34.265
02.11240;437441;168;1;03.41.34.265
02.10749;437442;168;1;03.41.34.265
02.10358;437443;168;1;03.41.34.265
02.09820;437444;168;1;03.41.34.265
02.09333;437445;168;1;03.41.34.276
02.08992;437446;168;1;03.41.34.276
02.08700;437447;168;1;03.41.34.276
02.07874;437448;168;1;03.41.34.276
02.07632;437449;168;1;03.41.34.276
02.07196;437450;168;1;03.41.34.309
02.07148;437451;168;1;03.41.34.309
02.07051;437452;168;1;03.41.34.309
02.06471;437453;168;1;03.41.34.320
02.06086;437454;168;1;03.41.34.320
02.06279;437455;168;1;03.41.34.320
02.06134;437456;168;1;03.41.34.320
02.06134;437457;168;1;03.41.34.320
02.05700;437458;168;1;03.41.34.320
02.05508;437459;168;1;03.41.34.320
02.05652;437460;168;1;03.41.34.374
02.05220;437461;168;1;03.41.34.374
02.05556;437462;168;1;03.41.34.374
02.05123;437463;168;1;03.41.34.374
02.04931;437464;168;1;03.41.34.374
02.05220;437465;168;1;03.41.34.374
02.05220;437466;168;1;03.41.34.374
02.04883;437467;168;1;03.41.34.374
02.05075;437468;168;1;03.41.34.374
02.04740;437469;168;1;03.41.34.374
02.04835;437470;168;1;03.41.34.418
02.04740;437471;168;1;03.41.34.418
02.04740;437472;168;1;03.41.34.418
02.04308;437473;168;1;03.41.34.418
02.04692;437474;168;1;03.41.34.418
02.04787;437475;168;1;03.41.34.418
02.04596;437476;168;1;03.41.34.418
02.04835;437477;168;1;03.41.34.418
02.04548;437478;168;1;03.41.34.418
02.04596;437479;168;1;03.41.34.418
02.04308;437480;168;0;03.41.34.473
02.04644;437481;168;0;03.41.34.473
02.04548;437482;168;0;03.41.34.473
02.04692;437483;168;0;03.41.34.473
02.04548;437484;168;0;03.41.34.473
02.04548;437485;168;0;03.41.34.473
02.04548;437486;168;0;03.41.34.473
02.04404;437487;168;0;03.41.34.473
02.04644;437488;168;0;03.41.34.473
02.04740;437489;168;0;03.41.34.473
02.04835;437490;168;0;03.41.34.516
02.04500;437491;168;0;03.41.34.516
02.04692;437492;168;0;03.41.34.516
02.04692;437493;168;0;03.41.34.516
02.04644;437494;168;0;03.41.34.516
02.04835;437495;168;0;03.41.34.516
02.04692;437496;168;0;03.41.34.516
02.04500;437497;168;0;03.41.34.516
02.04404;437498;168;0;03.41.34.516
02.04787;437499;168;0;03.41.34.527
02.04548;437500;168;0;03.41.34.560
02.04644;437501;168;0;03.41.34.560
02.04548;437502;168;0;03.41.34.560
02.04596;437503;168;0;03.41.34.560
02.04548;437504;168;0;03.41.34.560
02.04883;437505;168;0;03.41.34.560
02.04692;437506;168;0;03.41.34.560
02.04692;437507;168;0;03.41.34.560
02.04740;437508;168;0;03.41.34.571
02.04644;437509;168;0;03.41.34.571
02.04452;437510;168;0;03.41.34.615
02.04548;437511;168;0;03.41.34.615
02.04596;437512;168;0;03.41.34.615
02.04596;437513;168;0;03.41.34.615
02.04692;437514;168;0;03.41.34.615
02.04596;437515;168;0;03.41.34.615
02.04692;437516;168;0;03.41.34.615
02.04548;437517;168;0;03.41.34.626
02.04452;437518;168;0;03.41.34.626
02.04644;437519;168;0;03.41.34.626
02.04644;437520;168;0;03.41.34.659
02.04692;437521;168;0;03.41.34.659
02.04452;437522;168;0;03.41.34.659
02.03352;437523;168;0;03.41.34.659
02.04835;437524;168;0;03.41.34.670
02.04787;437525;168;0;03.41.34.670
02.04165;437526;168;0;03.41.34.670
02.04596;437527;168;0;03.41.34.670
02.04356;437528;168;0;03.41.34.670
02.04596;437529;168;0;03.41.34.670
02.03495;437530;168;0;03.41.34.714
02.04452;437531;168;0;03.41.34.714
02.04644;437532;168;0;03.41.34.714
02.04787;437533;168;0;03.41.34.725
02.04692;437534;168;0;03.41.34.725
02.04692;437535;168;0;03.41.34.725
02.04644;437536;168;0;03.41.34.725
02.04692;437537;168;0;03.41.34.725
02.04596;437538;168;0;03.41.34.725
02.04500;437539;168;0;03.41.34.725
02.04644;437540;168;0;03.41.34.758
02.04452;437541;168;0;03.41.34.769
02.04596;437542;168;0;03.41.34.769
02.04692;437543;168;0;03.41.34.769
02.04500;437544;168;0;03.41.34.769
02.04500;437545;168;0;03.41.34.769
02.04596;437546;168;0;03.41.34.769
02.04596;437547;168;0;03.41.34.769
02.03256;437548;168;0;03.41.34.769
02.04644;437549;168;0;03.41.34.769
02.04548;437550;168;0;03.41.34.824
02.04692;437551;168;0;03.41.34.824
02.04500;437552;168;0;03.41.34.824
02.04500;437553;168;0;03.41.34.824
02.04308;437554;168;0;03.41.34.824
02.04452;437555;168;0;03.41.34.824
02.04548;437556;168;0;03.41.34.824
02.04548;437557;168;0;03.41.34.824
02.04692;437558;168;0;03.41.34.824
02.04644;437559;168;0;03.41.34.824
02.04356;437560;168;0;03.41.34.867
02.04548;437561;168;0;03.41.34.867
02.04644;437562;168;0;03.41.34.867
02.04452;437563;168;0;03.41.34.867
02.04644;437564;168;0;03.41.34.867
02.04596;437565;168;0;03.41.34.867
02.04452;437566;168;0;03.41.34.867
02.04692;437567;168;0;03.41.34.867
02.04596;437568;168;0;03.41.34.867
02.04644;437569;168;0;03.41.34.867
02.04692;437570;168;0;03.41.34.911
02.03638;437571;168;0;03.41.34.911
02.04596;437572;168;0;03.41.34.911
02.04212;437573;168;0;03.41.34.911
02.04596;437574;168;0;03.41.34.911
02.04548;437575;168;0;03.41.34.911
02.04404;437576;168;0;03.41.34.911
02.04500;437577;168;0;03.41.34.911
02.04356;437578;168;0;03.41.34.911
02.04596;437579;168;0;03.41.34.911
02.03400;437580;168;0;03.41.34.966
02.04548;437581;168;0;03.41.34.966
02.04787;437582;168;0;03.41.34.966
02.04644;437583;168;0;03.41.34.966
02.04548;437584;168;0;03.41.34.966
02.04356;437585;168;0;03.41.34.966
02.04452;437586;168;0;03.41.34.966
02.04596;437587;168;0;03.41.34.966
02.04548;437588;168;0;03.41.34.966
02.04596;437589;168;0;03.41.34.977
02.04692;437590;168;0;03.41.35.010
02.04596;437591;168;0;03.41.35.010
02.04500;437592;168;0;03.41.35.010
02.04548;437593;168;0;03.41.35.010
02.04500;437594;168;0;03.41.35.010
02.04692;437595;168;0;03.41.35.010
02.04692;437596;168;0;03.41.35.010
02.04548;437597;168;0;03.41.35.010
02.04404;437598;168;0;03.41.35.021
02.04596;437599;168;0;03.41.35.021
02.04404;437600;168;0;03.41.35.065
02.04596;437601;168;0;03.41.35.065
02.04452;437602;168;0;03.41.35.065
02.04356;437603;168;0;03.41.35.065
02.04452;437604;168;0;03.41.35.065
02.04356;437605;168;0;03.41.35.065
02.04596;437606;168;0;03.41.35.076
02.04644;437607;168;0;03.41.35.076
02.04596;437608;168;0;03.41.35.076
02.04596;437609;168;0;03.41.35.076
02.04692;437610;168;0;03.41.35.109
02.04644;437611;168;0;03.41.35.109
02.04644;437612;168;0;03.41.35.109
02.04692;437613;168;0;03.41.35.109
02.04404;437614;168;0;03.41.35.120
02.04596;437615;168;0;03.41.35.120
02.04596;437616;168;0;03.41.35.120
02.04356;437617;168;0;03.41.35.120
02.04260;437618;168;0;03.41.35.120
02.04692;437619;168;0;03.41.35.120
02.04548;437620;168;0;03.41.35.153
02.03495;437621;168;0;03.41.35.153
02.04308;437622;168;0;03.41.35.153
02.03686;437623;168;0;03.41.35.164
02.04596;437624;168;0;03.41.35.164
02.04404;437625;168;0;03.41.35.164
02.04308;437626;168;0;03.41.35.164
02.04404;437627;168;0;03.41.35.164
02.04356;437628;168;0;03.41.35.164
02.04644;437629;168;0;03.41.35.164
02.03400;437630;168;0;03.41.35.219
