Time,B_BVP,E_Skin_Cond
0.00048828125,0.000,6.683
0.00097656250,0.000,6.683
0.00146484375,0.000,6.683
0.00195312500,0.000,6.683
0.00244140625,0.001,6.683
0.00292968750,0.001,6.683
0.00341796875,0.002,6.683
0.00390625000,0.004,6.683
0.00439453125,0.006,6.683
0.00488281250,0.010,6.683
0.00537109375,0.014,6.683
0.00585937500,0.020,6.683
0.00634765625,0.027,6.683
0.00683593750,0.036,6.683
0.00732421875,0.047,6.683
0.00781250000,0.060,6.683
0.00830078125,0.075,6.683
0.00878906250,0.094,6.683
0.00927734375,0.115,6.683
0.00976562500,0.139,6.683
0.01025390625,0.167,6.683
0.01074218750,0.199,6.683
0.01123046875,0.235,6.683
0.01171875000,0.274,6.683
0.01220703125,0.319,6.683
0.01269531250,0.367,6.683
0.01318359375,0.421,6.683
0.01367187500,0.480,6.683
0.01416015625,0.544,6.683
0.01464843750,0.614,6.683
0.01513671875,0.690,6.683
0.01562500000,0.771,6.683
0.01611328125,0.859,6.683
0.01660156250,0.953,6.683
0.01708984375,1.053,6.683
0.01757812500,1.160,6.683
0.01806640625,1.274,6.683
0.01855468750,1.394,6.683
0.01904296875,1.522,6.683
0.01953125000,1.657,6.683
0.02001953125,1.799,6.683
0.02050781250,1.949,6.683
0.02099609375,2.106,6.683
0.02148437500,2.270,6.683
0.02197265625,2.442,6.683
0.02246093750,2.622,6.683
0.02294921875,2.809,6.683
0.02343750000,3.004,6.683
0.02392578125,3.207,6.683
0.02441406250,3.418,6.683
0.02490234375,3.636,6.683
0.02539062500,3.862,6.683
0.02587890625,4.095,6.683
0.02636718750,4.336,6.683
0.02685546875,4.585,6.683
0.02734375000,4.842,6.683
0.02783203125,5.105,6.683
0.02832031250,5.376,6.683
0.02880859375,5.655,6.683
0.02929687500,5.941,6.683
0.02978515625,6.233,6.683
0.03027343750,6.533,6.683
0.03076171875,6.840,6.683
0.03125000000,7.153,6.683
0.03173828125,7.473,6.683
0.03222656250,7.800,6.683
0.03271484375,8.132,6.683
0.03320312500,8.471,6.683
0.03369140625,8.816,6.683
0.03417968750,9.167,6.683
0.03466796875,9.523,6.683
0.03515625000,9.885,6.683
0.03564453125,10.252,6.684
0.03613281250,10.624,6.684
0.03662109375,11.001,6.684
0.03710937500,11.383,6.684
0.03759765625,11.769,6.684
0.03808593750,12.159,6.684
0.03857421875,12.554,6.684
0.03906250000,12.952,6.684
0.03955078125,13.354,6.684
0.04003906250,13.759,6.684
0.04052734375,14.167,6.684
0.04101562500,14.578,6.684
0.04150390625,14.992,6.684
0.04199218750,15.408,6.684
0.04248046875,15.827,6.684
0.04296875000,16.247,6.684
0.04345703125,16.670,6.684
0.04394531250,17.093,6.684
0.04443359375,17.518,6.684
0.04492187500,17.944,6.684
0.04541015625,18.371,6.684
0.04589843750,18.798,6.684
0.04638671875,19.226,6.684
0.04687500000,19.654,6.684
0.04736328125,20.081,6.684
0.04785156250,20.509,6.684
0.04833984375,20.935,6.684
0.04882812500,21.361,6.684
0.04931640625,21.786,6.684
0.04980468750,22.209,6.684
0.05029296875,22.631,6.684
0.05078125000,23.052,6.684
0.05126953125,23.470,6.685
0.05175781250,23.886,6.685
