Video;Arousal;Valencia;Dominancia;Liking;Fam1;Fam2;Fam3;Emociones;Intensidad;TiempoDesc
DEMO;5;5;5;SI;5;5;NO;Atraccion;5;
VIDEO 1;9;8;2;SI;5;6;NO;Alegria;9;00:41
VIDEO 2;7;2;4;NO;2;2;NO;Miedo;8;00:43
VIDEO 3;5;6;5;SI;7;4;NO;Alegria;7;00:45
VIDEO 4;6;2;5;NO;2;4;NO;Asco;9;00:44
