Video;Arousal;Valencia;Dominancia;Liking;Fam1;Fam2;Fam3;Emociones;Intensidad;TiempoDesc
DEMO;5;8;7;NEUTRO;5;5;NO;Alegria;5;
VIDEO 1;2;9;8;SI;5;7;NO;Tranquilidad;8;00:41
VIDEO 2;7;2;3;NO;3;2;NO;Tristeza;7;00:43
VIDEO 3;6;7;7;SI;6;7;NO;Alegria;7;00:41
VIDEO 4;8;2;3;NO;2;1;NO;Miedo;8;00:42
