Video;Arousal;Valencia;Dominancia;Liking;Fam1;Fam2;Fam3;Emociones;Intensidad;TiempoDesc
DEMO;3;6;5;NEUTRO;1;7;NO;Tranquilidad;5;
VIDEO 1;5;9;6;SI;7;6;NO;Alegria;6;00:47
VIDEO 2;8;1;3;NO;5;5;NO;Miedo;7;00:42
VIDEO 3;7;9;2;SI;8;6;SI;Atraccion;8;00:53
VIDEO 4;8;1;2;NO;3;1;NO;Asco;9;00:59
