Video;Arousal;Valencia;Dominancia;Liking;Fam1;Fam2;Fam3;Emociones;Intensidad;TiempoDesc
DEMO;7;9;5;NEUTRO;5;5;NO;Tranquilidad;5;
VIDEO 1;1;9;9;SI;7;8;NO;Tranquilidad;8;00:46
VIDEO 2;7;3;3;NO;2;1;NO;Ira;8;00:42
VIDEO 3;7;7;7;SI;8;8;SI;Sorpresa;8;00:42
VIDEO 4;9;1;1;NO;1;1;NO;Miedo;8;00:44
