Video;Arousal;Valencia;Dominancia;Liking;Fam1;Fam2;Fam3;Emociones;Intensidad;TiempoDesc
DEMO;2;6;8;NEUTRO;5;5;NO;Sorpresa;6;
VIDEO 1;2;6;8;SI;6;5;NO;Tranquilidad;6;00:42
VIDEO 2;4;2;6;NO;2;1;NO;Miedo;6;00:42
VIDEO 3;6;8;6;SI;7;6;SI;Sorpresa;6;00:42
VIDEO 4;6;2;4;NO;1;2;NO;Miedo;8;00:41
