Video;Arousal;Valencia;Dominancia;Liking;Fam1;Fam2;Fam3;Emociones;Intensidad;TiempoDesc
DEMO;5;5;5;NEUTRO;5;5;NO;Asco;4;
VIDEO 1;1;7;9;SI;7;7;NO;Tranquilidad;7;00:45
VIDEO 2;9;3;1;NO;1;1;NO;Miedo;7;00:46
VIDEO 3;6;7;7;SI;7;5;NO;Sorpresa;6;00:49
VIDEO 4;6;4;5;NEUTRO;2;2;NO;Tristeza;4;00:45
