Video;Arousal;Valencia;Dominancia;Liking;Fam1;Fam2;Fam3;Emociones;Intensidad;TiempoDesc
DEMO;3;9;3;NEUTRO;5;5;NO;Sorpresa;6;
VIDEO 1;3;9;7;SI;2;8;NO;Tranquilidad;7;00:43
VIDEO 2;9;1;3;NO;3;1;NO;Miedo;8;00:42
VIDEO 3;7;7;9;SI;6;9;NO;Alegria;6;00:49
VIDEO 4;9;1;3;NO;2;1;SI;Asco;9;00:43
