Video;Arousal;Valencia;Dominancia;Liking;Fam1;Fam2;Fam3;Emociones;Intensidad;TiempoDesc
DEMO;6;6;7;SI;5;5;NO;Sorpresa;9;
VIDEO 1;5;9;9;SI;7;8;NO;Tranquilidad;8;0:26
VIDEO 2;8;3;4;NO;1;1;NO;Miedo;7;0:42
VIDEO 3;5;7;7;SI;8;7;NO;Alegria;6;0:40
VIDEO 4;7;3;4;NO;1;4;NO;Tristeza;7;0:41
