Video;Arousal;Valencia;Dominancia;Liking;Fam1;Fam2;Fam3;Emociones;Intensidad;TiempoDesc
DEMO;3;5;5;NEUTRO;3;5;NO;Sorpresa;4;
VIDEO 1;5;3;4;NEUTRO;6;8;NO;Tristeza;3;01:17
VIDEO 2;3;3;7;NO;3;1;NO;Miedo;2;00:42
VIDEO 3;5;7;5;SI;6;8;NO;Alegria;6;00:46
VIDEO 4;9;1;1;NO;2;1;NO;Miedo;9;00:42
