Video;Arousal;Valencia;Dominancia;Liking;Fam1;Fam2;Fam3;Emociones;Intensidad;TiempoDesc
DEMO;5;5;9;NEUTRO;5;5;NO;Sorpresa;5;
VIDEO 1;4;7;5;SI;4;6;NO;Tranquilidad;7;00:44
VIDEO 2;3;1;2;NO;1;1;NO;Miedo;7;00:43
VIDEO 3;5;7;3;SI;7;7;SI;Alegria;6;00:43
VIDEO 4;6;3;3;NO;1;1;NO;Miedo;5;00:42
