Video;Arousal;Valencia;Dominancia;Liking;Fam1;Fam2;Fam3;Emociones;Intensidad;TiempoDesc
DEMO;5;7;5;SI;6;6;NO;Tranquilidad;5;
VIDEO 1;3;7;5;SI;5;7;NO;Tranquilidad;3;00:48
VIDEO 2;7;3;4;NO;1;4;NO;Miedo;3;00:44
VIDEO 3;5;9;6;SI;6;9;NO;Sorpresa;7;00:46
VIDEO 4;9;1;3;NO;2;1;NO;Miedo;8;00:43
