Video;Arousal;Valencia;Dominancia;Liking;Fam1;Fam2;Fam3;Emociones;Intensidad;TiempoDesc
DEMO;3;7;6;NEUTRO;5;6;NO;Atraccion;5;
VIDEO 1;1;8;6;SI;8;8;NO;Tranquilidad;8;00:48
VIDEO 2;7;3;3;NO;3;2;NO;Miedo;8;00:46
VIDEO 3;5;9;9;SI;7;8;NO;Atraccion;8;00:47
VIDEO 4;6;3;3;NO;3;3;NO;Desprecio;7;01:07
