Video;Arousal;Valencia;Dominancia;Liking;Fam1;Fam2;Fam3;Emociones;Intensidad;TiempoDesc
DEMO;3;7;9;SI;5;3;NO;Sorpresa;9;
VIDEO 1;4;7;8;SI;7;8;NO;Miedo;6;00:47
VIDEO 2;7;4;7;NO;2;1;NO;Miedo;8;00:44
VIDEO 3;2;9;9;SI;8;8;SI;Alegria;8;00:50
VIDEO 4;9;1;6;NO;5;1;NO;Miedo;8;00:43
